"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-06 05:22:00,22.5 ms,99.0 ms,14.9 ms,111 ms,1.57 ms,0.379 ms,0.701 ms,22.8 ms,98.9 ms,14.8 ms,110 ms,1.45 ms,0.602 ms,0.608 ms,23.8 ms,99.9 ms,14.9 ms,136 ms,1.00 ms,1.16 ms,1.52 ms,22.9 ms,98.6 ms,14.5 ms,108 ms,1.35 ms,0.563 ms,0.840 ms,109 ms,37.6 ms,23.7 ms,22.4 ms,23.1 ms,22.3 ms,36.8 ms,108 ms,15.1 ms,62.2 ms,14.3 ms,14.5 ms,109 ms,97.9 ms,100 ms,99.0 ms,98.8 ms,98.8 ms
2026-01-06 05:24:00,18.9 ms,98.8 ms,14.9 ms,111 ms,1.17 ms,0.512 ms,0.719 ms,21.9 ms,99.0 ms,14.3 ms,110 ms,1.49 ms,0.584 ms,0.599 ms,24.1 ms,99.7 ms,15.0 ms,136 ms,0.993 ms,0.972 ms,1.41 ms,23.1 ms,98.7 ms,14.0 ms,108 ms,1.28 ms,0.385 ms,0.715 ms,109 ms,37.0 ms,23.5 ms,22.9 ms,22.5 ms,22.7 ms,36.9 ms,98.2 ms,15.1 ms,14.7 ms,14.4 ms,14.7 ms,109 ms,98.0 ms,107 ms,98.9 ms,98.7 ms,98.7 ms
2026-01-06 05:26:00,19.3 ms,98.8 ms,14.4 ms,111 ms,1.23 ms,0.437 ms,0.713 ms,22.7 ms,98.9 ms,14.3 ms,110 ms,1.40 ms,0.592 ms,0.800 ms,23.6 ms,99.9 ms,15.2 ms,136 ms,1.11 ms,1.05 ms,10.00 ms,23.1 ms,98.7 ms,14.0 ms,108 ms,1.25 ms,0.432 ms,0.704 ms,109 ms,37.0 ms,24.5 ms,19.0 ms,23.7 ms,23.3 ms,37.0 ms,97.9 ms,15.2 ms,14.4 ms,14.1 ms,14.6 ms,109 ms,98.2 ms,99.9 ms,98.8 ms,98.7 ms,98.7 ms
2026-01-06 05:28:00,19.1 ms,99.1 ms,14.5 ms,111 ms,1.32 ms,0.453 ms,0.759 ms,22.7 ms,98.7 ms,14.5 ms,110 ms,1.91 ms,0.663 ms,0.746 ms,23.6 ms,99.8 ms,14.9 ms,136 ms,1.21 ms,1.01 ms,1.20 ms,23.1 ms,98.7 ms,14.3 ms,108 ms,1.01 ms,0.379 ms,0.747 ms,109 ms,37.1 ms,24.4 ms,19.1 ms,25.8 ms,23.0 ms,38.4 ms,98.0 ms,15.1 ms,14.3 ms,14.1 ms,14.4 ms,109 ms,138 ms,100 ms,98.8 ms,98.7 ms,98.7 ms
2026-01-06 05:30:00,18.9 ms,98.9 ms,14.5 ms,111 ms,1.08 ms,0.675 ms,0.691 ms,23.3 ms,98.7 ms,14.4 ms,110 ms,1.46 ms,0.738 ms,0.602 ms,23.6 ms,100 ms,14.9 ms,136 ms,1.09 ms,1.27 ms,1.30 ms,23.4 ms,98.7 ms,14.4 ms,108 ms,1.20 ms,0.476 ms,0.782 ms,109 ms,37.2 ms,24.3 ms,19.1 ms,23.4 ms,23.1 ms,38.4 ms,98.0 ms,15.2 ms,14.7 ms,14.5 ms,14.3 ms,109 ms,97.9 ms,99.9 ms,98.9 ms,98.7 ms,98.7 ms
2026-01-06 05:32:00,19.0 ms,98.7 ms,14.8 ms,111 ms,1.17 ms,0.469 ms,0.805 ms,23.1 ms,98.8 ms,14.6 ms,110 ms,4.24 ms,0.620 ms,0.603 ms,23.9 ms,99.8 ms,14.8 ms,136 ms,1.28 ms,1.04 ms,3.11 ms,23.0 ms,98.7 ms,14.2 ms,108 ms,1.19 ms,0.377 ms,0.845 ms,109 ms,37.3 ms,24.1 ms,18.9 ms,23.1 ms,22.9 ms,37.4 ms,97.9 ms,15.6 ms,14.4 ms,14.1 ms,14.7 ms,110 ms,98.0 ms,100.0 ms,98.8 ms,98.7 ms,99.2 ms
2026-01-06 05:34:00,19.4 ms,99.1 ms,14.5 ms,111 ms,1.00 ms,0.353 ms,0.685 ms,23.5 ms,98.8 ms,14.7 ms,110 ms,1.52 ms,0.726 ms,0.681 ms,24.0 ms,100 ms,14.9 ms,136 ms,1.14 ms,9.93 ms,1.33 ms,23.0 ms,98.7 ms,14.8 ms,108 ms,1.16 ms,0.418 ms,0.710 ms,109 ms,38.0 ms,24.2 ms,19.3 ms,23.3 ms,23.3 ms,39.1 ms,98.1 ms,15.0 ms,14.4 ms,15.0 ms,15.7 ms,109 ms,97.8 ms,99.8 ms,98.8 ms,98.8 ms,98.8 ms
2026-01-06 05:36:00,19.0 ms,98.8 ms,15.2 ms,111 ms,1.01 ms,0.403 ms,0.888 ms,23.0 ms,98.7 ms,16.8 ms,110 ms,1.49 ms,0.680 ms,0.794 ms,24.2 ms,99.8 ms,17.9 ms,136 ms,0.957 ms,1.03 ms,1.35 ms,26.4 ms,98.7 ms,14.6 ms,108 ms,1.14 ms,0.494 ms,0.673 ms,109 ms,38.0 ms,24.2 ms,19.2 ms,23.2 ms,23.5 ms,38.7 ms,98.1 ms,15.0 ms,15.3 ms,14.4 ms,14.7 ms,109 ms,97.8 ms,100 ms,99.0 ms,98.6 ms,98.8 ms
2026-01-06 05:38:00,19.3 ms,99.0 ms,14.4 ms,111 ms,1.06 ms,0.455 ms,0.716 ms,23.0 ms,99.0 ms,14.6 ms,110 ms,1.35 ms,0.658 ms,0.832 ms,23.9 ms,114 ms,14.9 ms,136 ms,0.990 ms,1.05 ms,1.61 ms,23.3 ms,98.7 ms,15.4 ms,108 ms,0.998 ms,0.498 ms,0.677 ms,109 ms,37.9 ms,24.0 ms,18.9 ms,23.3 ms,23.6 ms,38.5 ms,97.9 ms,14.9 ms,14.6 ms,14.2 ms,14.5 ms,110 ms,97.9 ms,100 ms,98.9 ms,98.7 ms,99.0 ms
2026-01-06 05:40:00,23.6 ms,98.8 ms,14.9 ms,111 ms,1.06 ms,0.359 ms,0.766 ms,23.1 ms,98.8 ms,24.7 ms,110 ms,1.24 ms,0.585 ms,0.565 ms,23.8 ms,99.8 ms,51.9 ms,136 ms,0.995 ms,1.08 ms,1.35 ms,22.9 ms,98.8 ms,14.2 ms,108 ms,1.24 ms,0.519 ms,0.715 ms,109 ms,38.2 ms,24.0 ms,23.4 ms,23.1 ms,23.4 ms,38.5 ms,98.2 ms,14.8 ms,14.3 ms,14.2 ms,14.8 ms,109 ms,98.0 ms,99.8 ms,98.9 ms,98.7 ms,98.9 ms
2026-01-06 05:42:00,22.7 ms,98.8 ms,14.8 ms,111 ms,1.02 ms,0.467 ms,0.709 ms,22.5 ms,98.8 ms,14.4 ms,110 ms,1.39 ms,0.657 ms,0.661 ms,23.5 ms,99.8 ms,14.7 ms,136 ms,1.91 ms,1.12 ms,1.52 ms,22.5 ms,98.7 ms,14.1 ms,108 ms,1.18 ms,0.454 ms,0.676 ms,110 ms,37.3 ms,23.3 ms,22.6 ms,23.1 ms,22.8 ms,37.0 ms,98.2 ms,15.3 ms,16.0 ms,14.1 ms,14.5 ms,110 ms,98.2 ms,99.7 ms,98.9 ms,98.9 ms,98.8 ms
2026-01-06 05:44:00,22.8 ms,98.8 ms,14.3 ms,111 ms,1.06 ms,0.552 ms,0.679 ms,22.8 ms,98.8 ms,14.3 ms,110 ms,1.39 ms,0.589 ms,0.814 ms,24.0 ms,99.7 ms,14.8 ms,136 ms,1.02 ms,1.13 ms,1.31 ms,22.6 ms,98.7 ms,14.4 ms,108 ms,1.31 ms,0.428 ms,0.681 ms,109 ms,37.2 ms,23.1 ms,22.4 ms,22.6 ms,22.6 ms,37.4 ms,102 ms,15.0 ms,14.4 ms,14.0 ms,14.5 ms,109 ms,97.9 ms,99.7 ms,98.9 ms,98.6 ms,98.7 ms
2026-01-06 05:46:00,22.3 ms,98.8 ms,14.9 ms,111 ms,1.07 ms,0.343 ms,0.748 ms,23.0 ms,98.8 ms,14.2 ms,110 ms,1.28 ms,0.698 ms,0.724 ms,23.8 ms,99.8 ms,14.9 ms,136 ms,1.10 ms,1.18 ms,1.30 ms,22.7 ms,98.7 ms,14.4 ms,108 ms,1.04 ms,0.491 ms,0.688 ms,109 ms,37.2 ms,23.2 ms,22.5 ms,22.7 ms,22.7 ms,36.9 ms,98.5 ms,14.9 ms,14.6 ms,14.2 ms,14.3 ms,109 ms,97.9 ms,99.8 ms,98.9 ms,98.7 ms,98.8 ms
2026-01-06 05:48:00,22.4 ms,98.9 ms,14.7 ms,111 ms,1.70 ms,0.417 ms,0.812 ms,22.9 ms,98.8 ms,14.3 ms,110 ms,1.37 ms,0.639 ms,0.683 ms,23.5 ms,99.7 ms,14.6 ms,136 ms,1.29 ms,1.11 ms,1.48 ms,22.8 ms,98.6 ms,14.3 ms,108 ms,1.29 ms,0.438 ms,0.704 ms,109 ms,64.5 ms,23.2 ms,22.6 ms,22.7 ms,23.0 ms,37.4 ms,98.2 ms,14.8 ms,14.7 ms,14.1 ms,14.4 ms,109 ms,97.8 ms,99.9 ms,98.9 ms,98.8 ms,98.7 ms
2026-01-06 05:50:00,22.8 ms,98.9 ms,14.5 ms,111 ms,0.956 ms,0.370 ms,0.733 ms,22.4 ms,98.8 ms,17.0 ms,110 ms,1.43 ms,0.577 ms,0.580 ms,23.3 ms,99.7 ms,14.7 ms,136 ms,1.33 ms,1.11 ms,1.44 ms,22.7 ms,98.6 ms,14.2 ms,108 ms,1.13 ms,0.437 ms,0.688 ms,109 ms,37.7 ms,23.1 ms,24.1 ms,22.7 ms,22.5 ms,37.4 ms,98.1 ms,16.8 ms,14.3 ms,14.1 ms,14.2 ms,109 ms,97.9 ms,99.7 ms,98.7 ms,98.7 ms,98.7 ms
2026-01-06 05:52:00,22.6 ms,98.8 ms,15.5 ms,111 ms,1.16 ms,0.300 ms,0.654 ms,22.7 ms,98.8 ms,14.5 ms,110 ms,1.27 ms,0.660 ms,0.510 ms,23.4 ms,99.8 ms,15.1 ms,136 ms,1.26 ms,1.08 ms,1.29 ms,22.5 ms,98.7 ms,14.3 ms,108 ms,1.30 ms,0.398 ms,0.664 ms,109 ms,37.5 ms,23.1 ms,22.5 ms,22.9 ms,22.8 ms,37.0 ms,107 ms,15.4 ms,15.0 ms,14.2 ms,14.5 ms,109 ms,98.1 ms,99.7 ms,98.8 ms,98.6 ms,98.7 ms
2026-01-06 05:54:00,23.0 ms,98.8 ms,14.5 ms,111 ms,8.47 ms,0.372 ms,0.679 ms,22.6 ms,98.7 ms,14.3 ms,110 ms,1.42 ms,0.592 ms,0.545 ms,23.6 ms,99.9 ms,23.2 ms,136 ms,1.23 ms,1.24 ms,1.20 ms,22.5 ms,98.9 ms,14.0 ms,108 ms,1.07 ms,0.357 ms,0.675 ms,109 ms,37.2 ms,23.9 ms,22.7 ms,22.7 ms,22.8 ms,38.1 ms,98.0 ms,18.0 ms,14.4 ms,13.9 ms,14.3 ms,109 ms,97.8 ms,99.8 ms,99.0 ms,98.8 ms,98.9 ms
2026-01-06 05:56:00,22.6 ms,99.0 ms,15.6 ms,111 ms,0.976 ms,0.538 ms,0.740 ms,22.6 ms,99.1 ms,14.6 ms,110 ms,1.41 ms,0.693 ms,0.833 ms,23.7 ms,99.6 ms,14.7 ms,136 ms,1.15 ms,0.987 ms,1.47 ms,22.5 ms,98.7 ms,14.3 ms,108 ms,1.03 ms,0.463 ms,0.744 ms,110 ms,37.2 ms,23.6 ms,22.6 ms,23.0 ms,22.7 ms,37.3 ms,98.2 ms,15.3 ms,14.6 ms,14.6 ms,14.3 ms,110 ms,98.1 ms,99.7 ms,99.0 ms,98.8 ms,98.8 ms
2026-01-06 05:58:00,22.5 ms,98.8 ms,14.6 ms,111 ms,1.17 ms,0.645 ms,0.678 ms,22.9 ms,98.8 ms,14.6 ms,110 ms,1.56 ms,0.837 ms,0.558 ms,23.3 ms,99.7 ms,15.3 ms,136 ms,0.965 ms,1.17 ms,1.41 ms,23.0 ms,99.0 ms,14.1 ms,108 ms,1.17 ms,0.431 ms,0.683 ms,109 ms,38.7 ms,23.4 ms,22.5 ms,22.6 ms,22.6 ms,37.9 ms,98.5 ms,15.1 ms,14.7 ms,14.3 ms,14.7 ms,110 ms,98.5 ms,99.6 ms,98.8 ms,98.6 ms,99.2 ms
2026-01-06 06:00:00,22.8 ms,98.9 ms,15.2 ms,111 ms,1.38 ms,0.448 ms,0.700 ms,22.5 ms,99.0 ms,14.7 ms,110 ms,1.40 ms,0.655 ms,0.511 ms,24.1 ms,99.6 ms,15.0 ms,136 ms,1.08 ms,1.08 ms,1.55 ms,22.9 ms,98.6 ms,14.6 ms,108 ms,1.37 ms,0.497 ms,0.661 ms,110 ms,37.3 ms,23.3 ms,22.5 ms,22.7 ms,23.0 ms,37.9 ms,98.2 ms,14.9 ms,15.2 ms,14.2 ms,14.6 ms,110 ms,97.8 ms,99.8 ms,98.8 ms,98.6 ms,99.1 ms
2026-01-06 06:02:00,22.9 ms,98.7 ms,14.4 ms,111 ms,1.13 ms,0.445 ms,0.732 ms,22.6 ms,98.8 ms,14.2 ms,110 ms,1.47 ms,0.725 ms,0.813 ms,23.4 ms,99.7 ms,15.0 ms,136 ms,1.07 ms,1.10 ms,1.39 ms,22.9 ms,98.6 ms,14.8 ms,108 ms,1.26 ms,0.435 ms,0.696 ms,109 ms,37.4 ms,23.5 ms,22.6 ms,22.9 ms,22.8 ms,37.1 ms,97.8 ms,14.9 ms,14.4 ms,15.2 ms,14.2 ms,109 ms,97.9 ms,99.7 ms,98.7 ms,98.6 ms,98.8 ms
2026-01-06 06:04:00,22.9 ms,98.8 ms,14.5 ms,111 ms,1.30 ms,0.404 ms,0.776 ms,22.8 ms,98.8 ms,41.9 ms,110 ms,1.35 ms,0.575 ms,0.554 ms,23.7 ms,99.8 ms,15.0 ms,136 ms,1.02 ms,1.12 ms,1.49 ms,22.8 ms,98.6 ms,14.6 ms,108 ms,1.17 ms,0.365 ms,0.634 ms,109 ms,37.4 ms,23.8 ms,22.7 ms,22.8 ms,23.0 ms,37.0 ms,98.0 ms,15.5 ms,14.5 ms,14.3 ms,14.3 ms,109 ms,98.0 ms,99.8 ms,98.9 ms,98.6 ms,98.8 ms
2026-01-06 06:06:00,22.8 ms,98.9 ms,14.3 ms,111 ms,1.34 ms,0.403 ms,0.741 ms,23.4 ms,98.9 ms,15.1 ms,110 ms,1.26 ms,0.625 ms,0.745 ms,23.7 ms,99.8 ms,14.9 ms,136 ms,1.21 ms,1.09 ms,1.79 ms,22.8 ms,98.6 ms,14.6 ms,108 ms,2.58 ms,0.689 ms,0.647 ms,109 ms,37.4 ms,23.6 ms,23.0 ms,22.8 ms,23.0 ms,37.4 ms,98.1 ms,15.2 ms,14.2 ms,14.2 ms,14.4 ms,109 ms,114 ms,99.9 ms,99.0 ms,98.6 ms,98.9 ms
2026-01-06 06:08:00,22.6 ms,98.7 ms,14.4 ms,111 ms,1.25 ms,0.554 ms,0.736 ms,22.5 ms,98.8 ms,14.6 ms,110 ms,1.44 ms,0.633 ms,0.653 ms,23.4 ms,99.8 ms,15.0 ms,136 ms,1.15 ms,1.15 ms,1.57 ms,22.9 ms,98.6 ms,14.6 ms,108 ms,1.21 ms,0.425 ms,0.679 ms,109 ms,37.5 ms,23.6 ms,22.6 ms,22.7 ms,22.6 ms,37.7 ms,98.4 ms,15.0 ms,14.4 ms,14.4 ms,14.9 ms,109 ms,98.4 ms,101 ms,98.8 ms,98.6 ms,98.8 ms
2026-01-06 06:10:00,22.4 ms,98.7 ms,14.7 ms,111 ms,1.02 ms,0.494 ms,0.840 ms,23.0 ms,98.8 ms,14.7 ms,110 ms,1.45 ms,0.748 ms,0.750 ms,24.0 ms,99.8 ms,19.4 ms,136 ms,1.40 ms,1.05 ms,1.59 ms,22.8 ms,98.7 ms,14.6 ms,108 ms,1.23 ms,0.465 ms,0.766 ms,109 ms,37.4 ms,23.3 ms,22.5 ms,22.6 ms,22.8 ms,37.7 ms,98.1 ms,15.0 ms,14.4 ms,14.1 ms,14.6 ms,109 ms,97.9 ms,99.8 ms,98.9 ms,98.6 ms,98.8 ms
2026-01-06 06:12:00,23.0 ms,99.2 ms,14.4 ms,111 ms,1.37 ms,0.435 ms,0.740 ms,22.5 ms,98.8 ms,19.0 ms,110 ms,1.32 ms,0.665 ms,0.666 ms,23.7 ms,99.7 ms,15.0 ms,136 ms,1.02 ms,1.19 ms,1.48 ms,22.8 ms,98.7 ms,14.9 ms,108 ms,1.13 ms,0.608 ms,0.787 ms,109 ms,37.8 ms,23.4 ms,22.6 ms,22.9 ms,23.0 ms,39.5 ms,98.6 ms,15.3 ms,14.4 ms,14.4 ms,15.0 ms,109 ms,98.0 ms,99.8 ms,98.9 ms,98.6 ms,98.7 ms
2026-01-06 06:14:00,18.8 ms,98.8 ms,14.3 ms,111 ms,1.32 ms,0.655 ms,0.661 ms,22.7 ms,98.7 ms,15.0 ms,110 ms,1.35 ms,0.695 ms,0.766 ms,24.4 ms,99.8 ms,83.8 ms,136 ms,1.08 ms,1.07 ms,1.45 ms,26.1 ms,98.6 ms,14.2 ms,108 ms,1.30 ms,0.444 ms,0.669 ms,109 ms,37.4 ms,23.6 ms,22.9 ms,22.6 ms,23.2 ms,37.1 ms,97.9 ms,106 ms,14.2 ms,14.0 ms,15.0 ms,109 ms,97.9 ms,101 ms,99.0 ms,98.8 ms,98.8 ms
2026-01-06 06:16:00,19.5 ms,98.9 ms,14.3 ms,111 ms,1.41 ms,0.328 ms,0.724 ms,23.1 ms,98.9 ms,14.6 ms,110 ms,1.36 ms,0.658 ms,0.590 ms,23.6 ms,99.6 ms,15.2 ms,136 ms,1.27 ms,1.11 ms,1.69 ms,23.1 ms,98.6 ms,14.3 ms,108 ms,1.20 ms,0.379 ms,0.690 ms,109 ms,37.4 ms,24.4 ms,19.2 ms,23.3 ms,23.2 ms,37.9 ms,134 ms,15.3 ms,14.0 ms,14.5 ms,14.9 ms,109 ms,111 ms,99.6 ms,98.7 ms,98.7 ms,98.9 ms
2026-01-06 06:18:00,19.1 ms,98.8 ms,14.1 ms,111 ms,1.27 ms,0.317 ms,0.656 ms,24.0 ms,98.8 ms,14.9 ms,110 ms,1.39 ms,0.620 ms,0.667 ms,24.1 ms,99.5 ms,15.2 ms,136 ms,1.04 ms,1.13 ms,1.55 ms,23.2 ms,98.6 ms,14.6 ms,108 ms,1.19 ms,0.597 ms,0.698 ms,109 ms,39.1 ms,24.5 ms,18.9 ms,23.3 ms,23.5 ms,38.1 ms,97.9 ms,15.1 ms,14.1 ms,14.5 ms,14.5 ms,109 ms,98.1 ms,99.6 ms,98.7 ms,98.9 ms,98.8 ms
2026-01-06 06:20:00,18.7 ms,98.7 ms,14.3 ms,111 ms,1.16 ms,0.443 ms,0.867 ms,23.6 ms,98.9 ms,14.6 ms,110 ms,1.35 ms,0.728 ms,0.562 ms,24.2 ms,99.6 ms,15.1 ms,136 ms,1.38 ms,1.07 ms,1.35 ms,23.5 ms,98.7 ms,14.2 ms,108 ms,1.15 ms,0.604 ms,0.744 ms,110 ms,38.1 ms,24.1 ms,19.0 ms,23.0 ms,23.6 ms,38.1 ms,97.9 ms,15.3 ms,14.2 ms,14.2 ms,28.7 ms,109 ms,97.9 ms,99.7 ms,98.8 ms,98.8 ms,98.8 ms
2026-01-06 06:22:00,19.0 ms,99.0 ms,14.6 ms,111 ms,1.37 ms,0.417 ms,0.732 ms,23.1 ms,98.8 ms,14.6 ms,110 ms,8.71 ms,0.606 ms,0.573 ms,24.2 ms,102 ms,15.8 ms,136 ms,1.06 ms,1.06 ms,3.94 ms,23.1 ms,98.7 ms,14.5 ms,108 ms,1.29 ms,0.432 ms,0.709 ms,110 ms,38.0 ms,23.8 ms,18.8 ms,23.2 ms,23.8 ms,38.3 ms,98.3 ms,15.2 ms,14.3 ms,16.1 ms,14.5 ms,109 ms,98.2 ms,99.7 ms,98.7 ms,98.7 ms,98.8 ms
2026-01-06 06:24:00,18.8 ms,98.7 ms,59.8 ms,111 ms,1.20 ms,0.372 ms,0.763 ms,23.3 ms,98.8 ms,14.9 ms,110 ms,1.38 ms,0.589 ms,0.765 ms,24.5 ms,100 ms,15.3 ms,136 ms,0.974 ms,1.11 ms,1.35 ms,23.2 ms,98.7 ms,14.4 ms,108 ms,1.18 ms,0.391 ms,0.704 ms,109 ms,38.3 ms,24.3 ms,18.9 ms,23.0 ms,23.4 ms,38.1 ms,98.5 ms,15.2 ms,14.3 ms,14.3 ms,14.6 ms,109 ms,97.9 ms,99.8 ms,98.8 ms,98.7 ms,98.9 ms
2026-01-06 06:26:00,19.1 ms,98.8 ms,14.5 ms,111 ms,1.64 ms,0.673 ms,0.742 ms,23.1 ms,98.8 ms,15.7 ms,110 ms,1.51 ms,0.676 ms,0.758 ms,24.2 ms,99.8 ms,14.9 ms,136 ms,0.954 ms,1.07 ms,1.47 ms,23.4 ms,98.7 ms,14.5 ms,108 ms,1.22 ms,0.550 ms,0.865 ms,109 ms,38.3 ms,24.0 ms,19.0 ms,23.0 ms,23.4 ms,39.1 ms,97.9 ms,15.0 ms,14.4 ms,14.3 ms,14.8 ms,109 ms,98.3 ms,99.6 ms,98.7 ms,98.7 ms,98.7 ms
2026-01-06 06:28:00,18.9 ms,98.8 ms,14.4 ms,111 ms,1.15 ms,0.362 ms,0.721 ms,23.4 ms,98.7 ms,15.3 ms,110 ms,1.62 ms,0.605 ms,0.776 ms,24.0 ms,99.9 ms,15.3 ms,136 ms,1.05 ms,1.13 ms,1.33 ms,23.6 ms,98.8 ms,14.2 ms,108 ms,1.27 ms,0.496 ms,0.717 ms,109 ms,38.1 ms,24.1 ms,18.9 ms,23.1 ms,23.5 ms,38.3 ms,98.1 ms,15.2 ms,14.3 ms,14.2 ms,15.2 ms,109 ms,98.0 ms,99.7 ms,99.0 ms,98.9 ms,98.8 ms
