"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-04 06:40:00,18.9 ms,98.0 ms,14.5 ms,111 ms,1.36 ms,0.332 ms,0.813 ms,22.7 ms,98.8 ms,15.1 ms,110 ms,1.35 ms,0.583 ms,0.694 ms,29.0 ms,98.7 ms,18.0 ms,136 ms,10.0 ms,1.05 ms,1.38 ms,23.5 ms,97.8 ms,14.5 ms,108 ms,1.25 ms,0.558 ms,0.711 ms,109 ms,37.8 ms,24.5 ms,18.7 ms,24.7 ms,23.4 ms,37.9 ms,153 ms,15.0 ms,14.6 ms,14.6 ms,15.0 ms,109 ms,118 ms,35.1 ms,98.7 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-04 06:45:00,18.7 ms,97.8 ms,15.1 ms,111 ms,1.15 ms,0.491 ms,0.716 ms,22.7 ms,99.1 ms,15.4 ms,110 ms,1.42 ms,0.519 ms,0.576 ms,23.8 ms,98.7 ms,14.7 ms,136 ms,1.00 ms,1.02 ms,1.33 ms,23.2 ms,97.7 ms,14.4 ms,108 ms,1.20 ms,0.516 ms,0.682 ms,109 ms,38.0 ms,24.1 ms,18.7 ms,23.1 ms,23.0 ms,38.0 ms,98.7 ms,15.7 ms,14.2 ms,14.5 ms,16.1 ms,109 ms,98.6 ms,35.1 ms,98.7 ms,97.8 ms,97.8 ms,99.0 ms
2026-01-04 06:50:00,19.0 ms,97.8 ms,14.6 ms,111 ms,1.05 ms,0.404 ms,0.824 ms,22.9 ms,98.8 ms,15.0 ms,110 ms,1.64 ms,0.535 ms,0.661 ms,23.9 ms,98.7 ms,15.0 ms,136 ms,1.01 ms,1.02 ms,1.34 ms,23.9 ms,98.0 ms,14.8 ms,108 ms,1.27 ms,0.350 ms,0.826 ms,109 ms,38.0 ms,24.0 ms,19.0 ms,23.4 ms,23.2 ms,38.0 ms,99.0 ms,17.9 ms,14.1 ms,14.8 ms,15.0 ms,110 ms,98.6 ms,35.1 ms,98.6 ms,97.8 ms,97.9 ms,98.7 ms
2026-01-04 06:55:00,18.7 ms,98.4 ms,14.5 ms,111 ms,1.44 ms,0.456 ms,0.735 ms,22.6 ms,99.0 ms,16.4 ms,110 ms,1.24 ms,0.537 ms,0.524 ms,23.9 ms,98.6 ms,15.5 ms,136 ms,0.997 ms,1.15 ms,1.31 ms,23.1 ms,97.8 ms,14.9 ms,108 ms,1.36 ms,0.410 ms,0.787 ms,109 ms,39.6 ms,23.8 ms,18.7 ms,23.1 ms,22.9 ms,37.6 ms,98.8 ms,14.8 ms,14.2 ms,15.1 ms,15.2 ms,109 ms,98.7 ms,35.1 ms,98.9 ms,98.0 ms,98.0 ms,99.0 ms
2026-01-04 07:00:00,18.8 ms,98.1 ms,14.8 ms,111 ms,1.01 ms,0.630 ms,0.679 ms,22.7 ms,98.7 ms,15.5 ms,110 ms,1.41 ms,0.660 ms,0.549 ms,24.2 ms,99.7 ms,15.0 ms,136 ms,0.984 ms,1.18 ms,1.74 ms,23.2 ms,97.7 ms,14.2 ms,108 ms,1.09 ms,0.416 ms,0.601 ms,109 ms,38.3 ms,24.1 ms,18.9 ms,23.3 ms,23.0 ms,38.3 ms,98.6 ms,15.0 ms,14.2 ms,14.2 ms,16.1 ms,109 ms,98.7 ms,35.1 ms,99.7 ms,98.0 ms,97.8 ms,98.8 ms
2026-01-04 07:05:00,19.3 ms,97.9 ms,14.9 ms,111 ms,1.14 ms,0.638 ms,0.648 ms,22.6 ms,98.8 ms,15.0 ms,110 ms,1.42 ms,0.567 ms,0.613 ms,24.0 ms,99.6 ms,14.8 ms,136 ms,0.975 ms,1.09 ms,1.56 ms,23.1 ms,97.9 ms,14.7 ms,108 ms,1.38 ms,0.642 ms,0.708 ms,109 ms,38.1 ms,24.0 ms,18.8 ms,23.5 ms,23.2 ms,38.3 ms,98.6 ms,15.5 ms,14.3 ms,14.7 ms,17.0 ms,109 ms,98.7 ms,35.1 ms,99.6 ms,97.9 ms,97.7 ms,98.7 ms
2026-01-04 07:10:00,19.0 ms,97.7 ms,14.8 ms,111 ms,1.13 ms,0.442 ms,0.721 ms,22.7 ms,98.9 ms,15.4 ms,110 ms,1.27 ms,0.532 ms,0.727 ms,23.8 ms,98.8 ms,15.1 ms,136 ms,1.26 ms,1.10 ms,1.42 ms,23.1 ms,97.7 ms,14.4 ms,108 ms,1.16 ms,0.568 ms,0.746 ms,109 ms,38.5 ms,24.2 ms,19.1 ms,23.1 ms,23.1 ms,38.6 ms,98.6 ms,14.9 ms,14.3 ms,14.1 ms,15.2 ms,109 ms,98.4 ms,35.1 ms,98.7 ms,98.1 ms,97.7 ms,99.1 ms
2026-01-04 07:15:00,19.2 ms,97.8 ms,14.2 ms,111 ms,1.09 ms,0.664 ms,0.676 ms,22.7 ms,98.8 ms,16.9 ms,110 ms,1.27 ms,0.609 ms,0.662 ms,24.3 ms,98.7 ms,15.1 ms,136 ms,1.22 ms,1.000 ms,1.44 ms,23.0 ms,98.1 ms,14.8 ms,108 ms,1.34 ms,0.387 ms,0.740 ms,110 ms,38.8 ms,24.0 ms,19.2 ms,23.4 ms,22.8 ms,38.7 ms,101 ms,15.1 ms,14.4 ms,14.7 ms,15.4 ms,109 ms,98.7 ms,35.1 ms,98.8 ms,97.8 ms,97.9 ms,98.8 ms
2026-01-04 07:20:00,18.9 ms,97.9 ms,14.3 ms,111 ms,1.06 ms,0.365 ms,0.723 ms,22.7 ms,98.8 ms,15.3 ms,110 ms,1.44 ms,0.615 ms,0.590 ms,24.0 ms,99.7 ms,55.7 ms,136 ms,1.10 ms,1.03 ms,1.51 ms,23.4 ms,97.7 ms,14.8 ms,108 ms,1.07 ms,0.584 ms,0.735 ms,109 ms,37.9 ms,24.2 ms,18.8 ms,23.3 ms,22.5 ms,37.9 ms,98.7 ms,15.0 ms,14.5 ms,14.8 ms,14.7 ms,109 ms,98.6 ms,35.1 ms,99.7 ms,98.0 ms,97.7 ms,98.9 ms
2026-01-04 07:25:00,18.8 ms,98.3 ms,15.7 ms,111 ms,1.07 ms,0.418 ms,0.715 ms,22.7 ms,98.9 ms,15.4 ms,110 ms,1.38 ms,0.534 ms,0.595 ms,24.1 ms,98.8 ms,15.0 ms,136 ms,1.17 ms,1.03 ms,1.64 ms,23.1 ms,97.7 ms,15.7 ms,108 ms,1.14 ms,0.560 ms,1.00 ms,109 ms,38.4 ms,24.2 ms,18.7 ms,23.2 ms,22.7 ms,37.9 ms,99.7 ms,15.3 ms,14.3 ms,14.7 ms,15.1 ms,109 ms,98.7 ms,35.1 ms,98.7 ms,97.9 ms,98.0 ms,99.1 ms
2026-01-04 07:30:00,18.8 ms,97.8 ms,14.6 ms,111 ms,1.25 ms,0.559 ms,0.663 ms,22.7 ms,98.9 ms,15.2 ms,110 ms,1.40 ms,0.641 ms,0.655 ms,24.1 ms,98.7 ms,15.1 ms,136 ms,1.17 ms,1.33 ms,1.42 ms,23.1 ms,97.9 ms,14.9 ms,108 ms,1.07 ms,0.561 ms,0.749 ms,109 ms,37.6 ms,24.0 ms,18.8 ms,23.3 ms,22.8 ms,37.3 ms,98.7 ms,15.1 ms,14.6 ms,14.7 ms,14.9 ms,110 ms,98.6 ms,35.1 ms,98.7 ms,97.8 ms,97.8 ms,98.8 ms
2026-01-04 07:35:00,19.0 ms,97.8 ms,22.1 ms,111 ms,1.08 ms,0.611 ms,0.686 ms,22.7 ms,99.0 ms,15.0 ms,110 ms,1.32 ms,0.543 ms,0.707 ms,24.1 ms,98.8 ms,15.0 ms,136 ms,1.12 ms,1.13 ms,1.49 ms,23.2 ms,98.0 ms,14.9 ms,108 ms,1.30 ms,0.479 ms,0.553 ms,110 ms,38.1 ms,33.6 ms,19.0 ms,23.3 ms,22.8 ms,38.1 ms,98.6 ms,14.8 ms,14.2 ms,15.0 ms,14.9 ms,109 ms,98.7 ms,35.1 ms,98.8 ms,97.8 ms,97.9 ms,98.9 ms
2026-01-04 07:40:00,18.7 ms,97.8 ms,14.2 ms,111 ms,1.39 ms,0.592 ms,0.758 ms,22.9 ms,98.7 ms,15.0 ms,110 ms,1.34 ms,0.523 ms,0.552 ms,23.9 ms,99.7 ms,15.5 ms,136 ms,1.09 ms,7.85 ms,1.54 ms,23.5 ms,97.7 ms,14.4 ms,108 ms,3.13 ms,0.360 ms,0.809 ms,109 ms,37.9 ms,23.9 ms,18.7 ms,23.2 ms,22.6 ms,38.0 ms,99.2 ms,15.9 ms,14.4 ms,14.3 ms,14.9 ms,109 ms,98.5 ms,35.1 ms,99.6 ms,97.9 ms,97.8 ms,98.7 ms
2026-01-04 07:45:00,18.9 ms,98.0 ms,14.7 ms,111 ms,1.08 ms,0.511 ms,0.743 ms,22.6 ms,98.8 ms,15.3 ms,110 ms,1.36 ms,0.764 ms,0.531 ms,23.7 ms,98.9 ms,14.9 ms,136 ms,1.29 ms,1.14 ms,1.30 ms,23.2 ms,97.7 ms,14.7 ms,108 ms,1.02 ms,0.426 ms,0.997 ms,109 ms,38.1 ms,23.8 ms,18.8 ms,23.6 ms,22.8 ms,38.0 ms,98.7 ms,15.0 ms,14.5 ms,14.8 ms,15.0 ms,109 ms,98.6 ms,35.1 ms,98.6 ms,97.9 ms,97.7 ms,98.7 ms
2026-01-04 07:50:00,19.2 ms,97.8 ms,14.4 ms,111 ms,1.14 ms,0.583 ms,0.822 ms,23.1 ms,99.0 ms,15.5 ms,110 ms,1.31 ms,0.518 ms,0.611 ms,23.7 ms,99.6 ms,15.1 ms,136 ms,1.26 ms,1.02 ms,1.72 ms,23.1 ms,97.7 ms,14.8 ms,108 ms,1.22 ms,0.614 ms,0.574 ms,109 ms,38.2 ms,24.3 ms,19.1 ms,23.3 ms,23.0 ms,37.3 ms,98.5 ms,15.7 ms,14.2 ms,14.9 ms,15.0 ms,110 ms,99.2 ms,35.1 ms,99.7 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-04 07:55:00,19.0 ms,98.2 ms,14.1 ms,111 ms,1.16 ms,0.390 ms,0.697 ms,22.7 ms,98.8 ms,15.1 ms,110 ms,1.46 ms,0.761 ms,0.612 ms,23.9 ms,98.7 ms,15.1 ms,136 ms,1.20 ms,1.00 ms,1.33 ms,23.2 ms,97.9 ms,15.0 ms,108 ms,1.06 ms,0.420 ms,0.762 ms,109 ms,38.1 ms,24.3 ms,19.0 ms,23.6 ms,22.7 ms,37.4 ms,101 ms,16.8 ms,14.3 ms,15.0 ms,15.2 ms,110 ms,111 ms,35.1 ms,98.7 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-04 08:00:00,18.9 ms,98.0 ms,14.3 ms,111 ms,1.20 ms,0.684 ms,0.665 ms,22.8 ms,99.0 ms,15.2 ms,110 ms,1.52 ms,0.610 ms,0.785 ms,23.9 ms,100 ms,15.0 ms,136 ms,1.27 ms,1.09 ms,1.48 ms,25.4 ms,97.9 ms,14.8 ms,108 ms,1.35 ms,0.730 ms,0.709 ms,109 ms,38.0 ms,24.6 ms,19.0 ms,25.3 ms,22.7 ms,37.7 ms,99.1 ms,15.0 ms,14.3 ms,15.4 ms,20.6 ms,110 ms,98.7 ms,35.1 ms,99.0 ms,97.9 ms,97.9 ms,98.8 ms
2026-01-04 08:05:00,19.0 ms,97.8 ms,14.5 ms,111 ms,1.24 ms,0.629 ms,2.12 ms,22.7 ms,98.8 ms,15.0 ms,110 ms,1.48 ms,0.529 ms,0.635 ms,23.8 ms,98.8 ms,15.2 ms,136 ms,1.07 ms,1.19 ms,1.43 ms,23.4 ms,97.9 ms,14.1 ms,108 ms,1.26 ms,0.623 ms,1.05 ms,109 ms,38.7 ms,24.2 ms,19.1 ms,23.2 ms,22.8 ms,38.6 ms,99.3 ms,15.5 ms,14.3 ms,14.1 ms,15.2 ms,110 ms,98.5 ms,35.1 ms,98.9 ms,97.9 ms,97.7 ms,98.9 ms
2026-01-04 08:10:00,18.8 ms,97.9 ms,14.4 ms,111 ms,1.13 ms,0.390 ms,0.711 ms,22.7 ms,98.8 ms,15.2 ms,110 ms,1.35 ms,0.734 ms,0.740 ms,23.9 ms,98.6 ms,31.0 ms,136 ms,1.01 ms,1.04 ms,1.47 ms,23.0 ms,97.9 ms,14.9 ms,108 ms,1.46 ms,0.706 ms,0.735 ms,109 ms,38.1 ms,23.8 ms,18.9 ms,23.0 ms,22.7 ms,37.9 ms,101 ms,16.3 ms,14.5 ms,14.9 ms,15.0 ms,109 ms,99.0 ms,35.1 ms,108 ms,98.1 ms,97.8 ms,98.8 ms
2026-01-04 08:15:00,18.9 ms,98.3 ms,14.2 ms,111 ms,1.08 ms,0.649 ms,0.722 ms,22.8 ms,98.7 ms,15.6 ms,110 ms,1.84 ms,0.570 ms,0.850 ms,23.9 ms,98.7 ms,15.0 ms,136 ms,1.07 ms,1.02 ms,1.39 ms,23.1 ms,97.9 ms,14.9 ms,108 ms,1.20 ms,0.360 ms,0.775 ms,109 ms,37.7 ms,24.3 ms,19.0 ms,23.4 ms,22.8 ms,37.7 ms,98.9 ms,17.3 ms,14.2 ms,14.8 ms,15.3 ms,109 ms,98.8 ms,35.1 ms,98.9 ms,98.1 ms,97.7 ms,98.7 ms
2026-01-04 08:20:00,19.0 ms,97.8 ms,14.4 ms,111 ms,1.30 ms,0.676 ms,0.780 ms,22.6 ms,99.0 ms,15.2 ms,110 ms,1.31 ms,0.547 ms,0.783 ms,23.7 ms,98.7 ms,16.2 ms,136 ms,1.13 ms,0.984 ms,1.33 ms,23.7 ms,98.0 ms,15.0 ms,108 ms,1.06 ms,0.477 ms,0.716 ms,109 ms,38.2 ms,24.2 ms,18.9 ms,23.4 ms,23.2 ms,37.8 ms,98.8 ms,15.8 ms,14.2 ms,14.6 ms,18.4 ms,109 ms,98.5 ms,35.1 ms,98.6 ms,97.9 ms,97.8 ms,98.9 ms
2026-01-04 08:25:00,18.6 ms,97.8 ms,14.2 ms,111 ms,1.10 ms,0.767 ms,0.673 ms,23.1 ms,99.0 ms,15.3 ms,110 ms,1.38 ms,0.657 ms,0.598 ms,23.9 ms,98.8 ms,15.1 ms,136 ms,1.03 ms,1.15 ms,1.27 ms,23.2 ms,97.8 ms,14.7 ms,108 ms,1.22 ms,0.495 ms,0.666 ms,109 ms,38.2 ms,23.9 ms,18.9 ms,23.2 ms,22.9 ms,38.2 ms,98.6 ms,15.1 ms,14.1 ms,14.8 ms,15.2 ms,110 ms,98.8 ms,35.1 ms,98.8 ms,97.8 ms,97.9 ms,98.7 ms
2026-01-04 08:30:00,18.8 ms,97.9 ms,14.6 ms,111 ms,1.32 ms,0.641 ms,0.788 ms,23.0 ms,98.8 ms,15.0 ms,110 ms,1.27 ms,0.666 ms,0.518 ms,24.2 ms,98.6 ms,15.8 ms,136 ms,1.06 ms,1.05 ms,1.32 ms,24.2 ms,97.7 ms,14.2 ms,108 ms,0.992 ms,0.471 ms,0.663 ms,109 ms,37.9 ms,24.0 ms,19.0 ms,23.2 ms,23.1 ms,38.4 ms,98.5 ms,15.5 ms,14.6 ms,14.7 ms,15.1 ms,109 ms,98.7 ms,35.1 ms,98.7 ms,97.9 ms,97.9 ms,98.7 ms
2026-01-04 08:35:00,18.7 ms,97.8 ms,14.3 ms,111 ms,1.13 ms,0.446 ms,0.660 ms,22.6 ms,98.7 ms,15.1 ms,110 ms,1.26 ms,0.723 ms,0.565 ms,32.9 ms,98.8 ms,15.3 ms,136 ms,1.27 ms,1.02 ms,1.33 ms,23.4 ms,98.0 ms,15.2 ms,108 ms,1.14 ms,0.552 ms,0.864 ms,109 ms,38.2 ms,30.0 ms,18.9 ms,23.2 ms,23.2 ms,38.3 ms,98.8 ms,15.4 ms,14.1 ms,14.9 ms,15.4 ms,109 ms,98.6 ms,35.1 ms,98.8 ms,97.9 ms,97.7 ms,98.8 ms
2026-01-04 08:40:00,18.8 ms,97.8 ms,14.2 ms,111 ms,1.05 ms,0.587 ms,0.733 ms,22.8 ms,98.8 ms,15.1 ms,110 ms,1.42 ms,0.584 ms,0.571 ms,23.7 ms,98.5 ms,15.1 ms,136 ms,1.14 ms,1.11 ms,1.33 ms,23.4 ms,98.0 ms,14.8 ms,108 ms,1.25 ms,0.350 ms,0.690 ms,109 ms,37.9 ms,23.8 ms,18.8 ms,23.2 ms,22.9 ms,38.0 ms,98.6 ms,15.0 ms,14.2 ms,14.9 ms,15.1 ms,109 ms,129 ms,35.1 ms,99.0 ms,97.8 ms,98.0 ms,98.7 ms
2026-01-04 08:45:00,18.8 ms,97.9 ms,14.7 ms,111 ms,0.984 ms,0.421 ms,0.706 ms,22.7 ms,99.0 ms,15.0 ms,110 ms,1.32 ms,0.603 ms,0.587 ms,23.9 ms,98.8 ms,18.7 ms,136 ms,1.28 ms,1.08 ms,1.40 ms,23.2 ms,97.7 ms,15.0 ms,108 ms,1.10 ms,0.338 ms,0.878 ms,109 ms,37.7 ms,24.1 ms,19.1 ms,23.2 ms,23.0 ms,37.7 ms,105 ms,19.6 ms,14.3 ms,14.7 ms,14.9 ms,109 ms,98.9 ms,35.1 ms,98.6 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-04 08:50:00,19.1 ms,97.9 ms,14.2 ms,111 ms,1.06 ms,0.663 ms,0.741 ms,22.6 ms,98.9 ms,15.3 ms,110 ms,1.36 ms,0.543 ms,0.604 ms,24.0 ms,99.7 ms,15.1 ms,136 ms,1.11 ms,1.02 ms,1.35 ms,23.5 ms,97.7 ms,14.8 ms,108 ms,1.21 ms,0.547 ms,0.668 ms,109 ms,37.8 ms,23.8 ms,18.9 ms,23.1 ms,22.7 ms,37.9 ms,98.6 ms,14.8 ms,14.2 ms,14.6 ms,15.5 ms,110 ms,99.0 ms,35.1 ms,99.6 ms,98.1 ms,98.1 ms,98.9 ms
2026-01-04 08:55:00,19.3 ms,97.8 ms,14.1 ms,111 ms,1.24 ms,0.689 ms,0.686 ms,22.6 ms,98.8 ms,15.1 ms,110 ms,1.36 ms,0.822 ms,0.567 ms,24.0 ms,98.6 ms,15.0 ms,136 ms,0.974 ms,1.10 ms,1.59 ms,23.2 ms,97.7 ms,15.0 ms,108 ms,1.27 ms,0.761 ms,0.721 ms,109 ms,37.5 ms,24.2 ms,19.3 ms,23.3 ms,22.6 ms,37.5 ms,112 ms,15.0 ms,14.2 ms,14.7 ms,14.9 ms,109 ms,98.8 ms,35.1 ms,98.8 ms,97.9 ms,97.7 ms,99.0 ms
2026-01-04 09:00:00,18.7 ms,97.8 ms,14.4 ms,111 ms,1.09 ms,0.638 ms,0.747 ms,23.0 ms,99.1 ms,15.2 ms,110 ms,5.16 ms,0.642 ms,0.696 ms,23.9 ms,100.0 ms,14.9 ms,136 ms,1.07 ms,1.03 ms,1.36 ms,23.5 ms,97.9 ms,15.2 ms,108 ms,1.14 ms,0.586 ms,0.905 ms,109 ms,38.0 ms,24.0 ms,18.9 ms,23.2 ms,23.0 ms,38.1 ms,99.0 ms,15.1 ms,14.2 ms,14.7 ms,14.9 ms,109 ms,98.9 ms,35.1 ms,98.7 ms,104 ms,97.9 ms,99.1 ms
2026-01-04 09:05:00,18.8 ms,97.8 ms,15.8 ms,111 ms,1.07 ms,0.606 ms,0.758 ms,22.6 ms,98.7 ms,15.1 ms,110 ms,1.44 ms,0.620 ms,0.640 ms,23.7 ms,98.7 ms,50.4 ms,136 ms,1.07 ms,1.02 ms,1.27 ms,23.3 ms,98.0 ms,15.0 ms,108 ms,1.16 ms,0.517 ms,0.721 ms,110 ms,38.6 ms,24.1 ms,18.8 ms,23.1 ms,22.8 ms,38.0 ms,99.0 ms,15.1 ms,14.3 ms,14.6 ms,14.9 ms,109 ms,98.9 ms,35.1 ms,98.6 ms,98.1 ms,97.7 ms,98.7 ms
2026-01-04 09:10:00,18.9 ms,97.9 ms,14.4 ms,111 ms,1.27 ms,0.642 ms,0.681 ms,22.6 ms,98.8 ms,15.1 ms,110 ms,1.48 ms,0.644 ms,0.701 ms,23.9 ms,98.5 ms,15.9 ms,136 ms,1.08 ms,1.01 ms,1.33 ms,23.5 ms,97.7 ms,15.1 ms,108 ms,1.03 ms,0.521 ms,0.993 ms,109 ms,38.0 ms,23.9 ms,18.7 ms,23.4 ms,23.2 ms,37.8 ms,98.6 ms,14.9 ms,14.3 ms,15.2 ms,15.7 ms,109 ms,99.3 ms,35.1 ms,98.8 ms,98.0 ms,98.0 ms,98.8 ms
2026-01-04 09:15:00,18.9 ms,97.8 ms,14.4 ms,111 ms,1.05 ms,0.613 ms,0.680 ms,23.0 ms,98.7 ms,15.1 ms,110 ms,1.40 ms,0.506 ms,0.662 ms,23.9 ms,99.6 ms,15.2 ms,136 ms,0.950 ms,1.05 ms,1.59 ms,23.7 ms,97.8 ms,15.2 ms,108 ms,1.07 ms,0.403 ms,0.723 ms,109 ms,38.4 ms,23.8 ms,19.0 ms,23.3 ms,23.1 ms,38.5 ms,112 ms,15.0 ms,14.4 ms,14.8 ms,15.0 ms,109 ms,99.0 ms,35.1 ms,99.9 ms,97.9 ms,97.9 ms,98.8 ms
2026-01-04 09:20:00,18.9 ms,97.9 ms,14.2 ms,111 ms,1.16 ms,0.666 ms,0.707 ms,22.8 ms,98.9 ms,15.0 ms,110 ms,1.25 ms,0.665 ms,0.604 ms,23.8 ms,98.6 ms,14.9 ms,136 ms,1.09 ms,1.04 ms,1.32 ms,23.1 ms,97.9 ms,15.1 ms,108 ms,1.20 ms,0.458 ms,0.920 ms,109 ms,37.8 ms,24.1 ms,18.9 ms,23.5 ms,22.8 ms,37.8 ms,98.6 ms,14.8 ms,14.2 ms,14.9 ms,15.0 ms,110 ms,98.6 ms,35.1 ms,98.6 ms,97.8 ms,97.9 ms,98.7 ms
